latitude,longitude,walkscore,bikescore,transitscore
45.005846,-92.872856,32,,
44.994875,-92.879271,25,,
44.99224807,-92.9327565,2,,
44.9948004,-92.8779735,25,,
44.99087303,-92.93379917,2,,
45.00314641,-92.87810291,40,,
44.953597,-92.9058957,11,,
44.953597,-92.9058957,11,,
44.953597,-92.9058957,11,,
44.953597,-92.9058957,11,,
44.953597,-92.9058957,11,,
44.953597,-92.9058957,11,,
44.953597,-92.9058957,11,,
44.953597,-92.9058957,11,,
45.01226142,-92.91957384,0,,
44.953597,-92.9058957,11,,
44.953597,-92.9058957,11,,
44.953597,-92.9058957,11,,
44.953597,-92.9058957,11,,
44.953597,-92.9058957,11,,
44.9529108,-92.9074194,8,,
44.9528211,-92.9075481,8,,
45.00260091,-92.92642991,0,,
45.00089192,-92.8982172,5,,
44.98838871,-92.930863,1,,
44.9529588,-92.9079301,5,,
45.01179774,-92.9305404,0,,
45.00574664,-92.93761116,2,,
44.99002349,-92.87300571,2,,
44.9530582,-92.9075246,8,,
44.9527729,-92.9075242,8,,
44.98893908,-92.870641,1,,
44.99019855,-92.93026851,1,,
44.952871,-92.9079299,5,,
44.9529601,-92.9071073,8,,
45.0329332,-92.9458684,0,,
44.98871622,-92.93401736,1,,
45.00931904,-92.92596889,0,,
45.01048754,-92.94378481,2,,
45.008273,-92.937703,1,,
45.02432169,-92.95212529,0,,
45.0269198,-92.8580446,21,,
44.9605205,-92.926004,6,,
45.010492,-92.867622,14,,
44.995543,-92.883186,21,,
44.995543,-92.883186,21,,
45.0264472,-92.8599631,18,,
44.96453867,-92.88054433,4,,
44.995543,-92.883186,21,,
45.0258377,-92.8594212,12,,
44.96612498,-92.87831819,4,,
44.995543,-92.883186,21,,
45.02114954,-92.92397529,0,,
45.030827,-92.934496,0,,
44.9602815,-92.9261149,6,,
44.9609431,-92.9315691,20,,
,,,,
44.99913996,-92.92666624,0,,
44.995543,-92.883186,21,,
44.9523386,-92.9134263,5,,
45.0131758,-92.9368583,0,,
44.995543,-92.883186,21,,
44.995543,-92.883186,21,,
44.995543,-92.883186,21,,
44.9543166,-92.9216694,0,,
,,,,
44.9519639,-92.9228704,9,,
44.9609403,-92.9313784,20,,
44.9549937,-92.911703,0,,
45.03410303,-92.94248907,0,,
44.9897532,-92.9275246,0,,
45.01167353,-92.92860509,0,,
44.9540563,-92.9217435,5,,
44.995543,-92.883186,21,,
44.9618734,-92.9310925,14,,
44.9541347,-92.920746,11,,
44.9522442,-92.9221545,14,,
44.961411,-92.9319726,22,,
44.9541347,-92.920746,11,,
44.9587848,-92.9039419,2,,
44.995543,-92.883186,21,,
44.9522553,-92.9215987,14,,
44.9544731,-92.9226148,0,,
45.01752212,-92.86366525,10,,
45.00410257,-92.94060248,7,,
45.010813,-92.866224,12,,
45.000082,-92.928485,0,,
44.9540052,-92.9107907,0,,
,,,,
44.9609971,-92.9307808,20,,
45.008334,-92.8789496,6,,
44.9610019,-92.9305715,20,,
44.960909,-92.92058,1,,
45.03208283,-92.93086032,0,,
44.9606296,-92.9245286,0,,
45.008524,-92.863594,16,,
45.00268,-92.928701,0,,
44.9522553,-92.9215987,14,,
45.03096617,-92.94402065,0,,
45.0259573,-92.8591313,12,,
44.9584937,-92.9039619,4,,
44.995543,-92.883186,21,,
44.995543,-92.883186,21,,
45.0316029,-92.94284425,0,,
44.99238284,-92.87576747,10,,
44.9526049,-92.9357379,29,,
